Syntax analysis of the file: ./test3.cpy 
Token Checking: def	 Token index: 0
Token Checking: (	 Token index: 2
Token Checking: )	 Token index: 4
Token Checking: :	 Token index: 5
Token Checking: #{	 Token index: 6
Token Checking: =	 Token index: 8
Token Checking: if	 Token index: 10
Token Checking: :	 Token index: 14
Token Checking: return	 Token index: 15
Token Checking: else	 Token index: 17
Token Checking: :	 Token index: 18
Token Checking: return	 Token index: 19
Token Checking: #}	 Token index: 21
Token Checking: #def	 Token index: 22
Token Checking: main	 Token index: 23
Token Checking: #int	 Token index: 24
Token Checking: =	 Token index: 27
Token Checking: print	 Token index: 29
Token Checking: (	 Token index: 30
Token Checking: (	 Token index: 32
Token Checking: )	 Token index: 34
Token Checking: )	 Token index: 35


Ending Token: EOFIndex of Ending Token: 36
